Unnamed: 0,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
16278,660117,2013,2013-11-16,ICC World Twenty20 Qualifier,male,IT20,United States of America,Italy,United States of America,bat,Italy,"Zayed Cricket Stadium, Abu Dhabi"
16279,660109,2013,2013-11-16,ICC World Twenty20 Qualifier,male,IT20,Namibia,United Arab Emirates,United Arab Emirates,field,United Arab Emirates,"Sheikh Zayed Stadium, Abu Dhabi"
16280,660095,2013,2013-11-15,ICC World Twenty20 Qualifier,male,IT20,Uganda,United Arab Emirates,United Arab Emirates,field,United Arab Emirates,"Sheikh Zayed Stadium Nursery 1, Abu Dhabi"
16281,660093,2013,2013-11-15,ICC World Twenty20 Qualifier,male,IT20,Ireland,Namibia,Namibia,field,Ireland,"Sheikh Zayed Stadium, Abu Dhabi"
16283,660099,2013,2013-11-15,ICC World Twenty20 Qualifier,male,IT20,Bermuda,Scotland,Bermuda,bat,Bermuda,"Sharjah Cricket Association Stadium, Sharjah"
16284,660097,2013,2013-11-15,ICC World Twenty20 Qualifier,male,IT20,Denmark,Nepal,Denmark,bat,Nepal,"ICC Academy Oval 2, Dubai"
16285,660103,2013,2013-11-15,ICC World Twenty20 Qualifier,male,IT20,Italy,Hong Kong,Hong Kong,field,Hong Kong,"Abu Dhabi Oval 1, Abu Dhabi"
16286,660105,2013,2013-11-15,ICC World Twenty20 Qualifier,male,IT20,Kenya,Papua New Guinea,Kenya,bat,Papua New Guinea,"Sheikh Zayed Stadium Nursery 2, Abu Dhabi"
17520,460060,2010,2010-06-06,ICC World Cricket League Americas Region Division One Twenty20,male,IT20,Bermuda,United States of America,United States of America,field,United States of America,"National Stadium, Hamilton"
17521,460064,2010,2010-06-06,ICC World Cricket League Americas Region Division One Twenty20,male,IT20,Canada,United States of America,United States of America,field,United States of America,"National Stadium, Hamilton"
17523,460058,2010,2010-06-05,ICC World Cricket League Americas Region Division One Twenty20,male,IT20,Bermuda,Bahamas,Bahamas,field,Bermuda,"National Stadium, Hamilton"
17524,460056,2010,2010-06-05,ICC World Cricket League Americas Region Division One Twenty20,male,IT20,Cayman Islands,Bermuda,Cayman Islands,bat,Bermuda,"National Stadium, Hamilton"
17525,460054,2010,2010-06-04,ICC World Cricket League Americas Region Division One Twenty20,male,IT20,Argentina,United States of America,United States of America,field,United States of America,"Sea Breeze Oval, Hamilton"
