,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
403,1427421,2024,2024-04-21,Estonia Women tour of Gibraltar,female,T20,Gibraltar,Estonia,Estonia,field,Gibraltar,"Europa Sports Complex, Gibraltar"
408,1427422,2024,2024-04-21,Estonia Women tour of Gibraltar,female,T20,Gibraltar,Estonia,Gibraltar,bat,Gibraltar,"Europa Sports Complex, Gibraltar"
409,1429009,2024,2024-04-21,Mongolia Women tour of Indonesia,female,T20,Indonesia,Mongolia,Mongolia,field,Indonesia,"Udayana Cricket Ground, Bali"
413,1426082,2024,2024-04-21,West Indies Women tour of Pakistan,female,ODI,Pakistan,West Indies,Pakistan,bat,West Indies,"National Stadium, Karachi"
414,1429010,2024,2024-04-21,Mongolia Women tour of Indonesia,female,T20,Indonesia,Mongolia,Indonesia,bat,Indonesia,"Udayana Cricket Ground, Bali"
415,1427808,2024,2024-04-20,Rachael Heyhoe Flint Trophy,female,ODM,Southern Vipers,South East Stars,South East Stars,field,South East Stars,"Kent County Cricket Ground, Beckenham"
416,1427809,2024,2024-04-20,Rachael Heyhoe Flint Trophy,female,ODM,Western Storm,Sunrisers,Sunrisers,field,Sunrisers,"Sophia Gardens, Cardiff"
417,1427806,2024,2024-04-20,Rachael Heyhoe Flint Trophy,female,ODM,Thunder,Northern Diamonds,Northern Diamonds,field,Northern Diamonds,"Riverside Ground, Chester-le-Street"
418,1427420,2024,2024-04-20,Estonia Women tour of Gibraltar,female,T20,Gibraltar,Estonia,Estonia,field,Gibraltar,"Europa Sports Complex, Gibraltar"
421,1427807,2024,2024-04-20,Rachael Heyhoe Flint Trophy,female,ODM,Central Sparks,The Blaze,Central Sparks,bat,Central Sparks,"Edgbaston Foundation Community Sports Ground, Birmingham"
426,1426081,2024,2024-04-18,West Indies Women tour of Pakistan,female,ODI,West Indies,Pakistan,West Indies,bat,West Indies,"National Stadium, Karachi"
428,1429008,2024,2024-04-18,Ireland Women v Thailand Women T20I Series,female,T20,Thailand,Ireland,Thailand,bat,Ireland,"7he Sevens Stadium, Dubai"
432,1398267,2024,2024-04-17,Sri Lanka Women tour of South Africa,female,ODI,South Africa,Sri Lanka,Sri Lanka,field,Sri Lanka,"Senwes Park, Potchefstroom"
455,1427425,2024,2024-04-14,UAE Women's ODI Tri-Series,female,ODI,Scotland,United States of America,Scotland,bat,Scotland,"ICC Global Cricket Academy, Dubai"
463,1398266,2024,2024-04-13,Sri Lanka Women tour of South Africa,female,ODI,Sri Lanka,South Africa,South Africa,field,South Africa,"Diamond Oval, Kimberley"
472,1427424,2024,2024-04-12,UAE Women's ODI Tri-Series,female,ODI,Scotland,Papua New Guinea,Papua New Guinea,field,Scotland,"ICC Global Cricket Academy, Dubai"
479,1427423,2024,2024-04-11,UAE Women's ODI Tri-Series,female,ODI,United States of America,Papua New Guinea,United States of America,bat,Papua New Guinea,"ICC Global Cricket Academy, Dubai"
481,1398265,2024,2024-04-09,Sri Lanka Women tour of South Africa,female,ODI,South Africa,Sri Lanka,Sri Lanka,field,no result,"Buffalo Park, East London"
